Table S7: Differential analysis of somatic copy number and gene expression,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo_Symbol,Ensembl ID,RefSeq ID,Chromomosme,Strand,Start,End,Cytoband,CRPC-Adeno mean expression,CRPC-NE mean expression,VALID,# CRPC-NE neutral,# CRPC-NE deleted,# CRPC-NE amplified,# CRPC-Adeno neutral,# CRPC-Adeno deleted,# CRPC-Adeno amplified,P-val expression,P-val deletion,P-val amplification,FDR expression,FDR deletion,FDR amplification,% CRPC-NE deletion,% CRPC-Adeno deletion,% CRPC-NE amplification,% CRPC-Adeno amplification,Is cancer gene
EPHX2,ENSG00000120915.9,NM_001256482.1,8,F,27348295,27403081,p21.2,2.404742575,1.773196497,TRUE,12,26,5,25,19,9,0.007364506,0.027962891,0.653969853,0.033450574,0.128301822,1,0.604651163,0.358490566,0.11627907,0.169811321,FALSE
EPPK1,ENSG00000227184.3,,8,R,144939496,144952632,q24.3,3.101838781,1.474944625,TRUE,11,7,25,14,1,38,0.006394762,0.030320066,0.240060907,0.030327304,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
EPT1,ENSG00000138018.13,NM_033505.2,2,F,26531414,26618759,p23.3,2.601737874,2.579331877,TRUE,23,7,13,32,1,20,0.629146677,0.030320066,0.57981315,0.749438041,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
ERI1,ENSG00000104626.10,NM_153332.3,8,F,8859656,8974256,p23.1,1.291220929,1.208660349,TRUE,10,26,7,23,19,11,0.613957575,0.027962891,0.767395572,0.73711325,0.128301822,1,0.604651163,0.358490566,0.162790698,0.20754717,FALSE
ESPNL,ENSG00000144488.10,NM_194312.2,2,F,239008797,239041928,q37.3,0.123125617,0.353315027,TRUE,33,2,8,24,12,17,0.445484701,0.028321043,0.207048457,0.592785329,0.128301822,1,0.046511628,0.226415094,0.186046512,0.320754717,FALSE
EVI2A,ENSG00000126860.7,NM_001003927.2,17,R,29644577,29648902,q11.2,2.160291811,1.071173293,TRUE,23,7,13,31,1,21,0.000803283,0.030320066,0.458053865,0.007481187,0.128301822,1,0.162790698,0.018867925,0.302325581,0.396226415,FALSE
EVI2B,ENSG00000185862.5,NM_006495.3,17,R,29630783,29641130,q11.2,2.842120097,1.359425568,TRUE,23,7,13,31,1,21,0.000553873,0.030320066,0.458053865,0.005930519,0.128301822,1,0.162790698,0.018867925,0.302325581,0.396226415,FALSE
EXOC6B,ENSG00000144036.10,NM_015189.1,2,R,72403112,73053170,p13.2,1.686948818,1.068150392,TRUE,20,10,13,34,3,16,0.000952838,0.027411776,1,0.008370103,0.128301822,1,0.23255814,0.056603774,0.302325581,0.301886792,FALSE
EXOSC4,ENSG00000178896.6,NM_019037.2,8,F,145133528,145135550,q24.3,2.91400877,2.604983882,TRUE,10,7,26,13,1,39,0.069769961,0.030320066,0.251123787,0.16075479,0.128301822,1,0.162790698,0.018867925,0.604651163,0.735849057,FALSE
F3,ENSG00000117525.9,NM_001993.4,1,R,94994780,95007356,p21.3,2.604014892,1.738849835,TRUE,21,10,12,34,3,16,0.092948796,0.027411776,0.98498918,0.197051448,0.128301822,1,0.23255814,0.056603774,0.279069767,0.301886792,FALSE
FAM124A,ENSG00000150510.11,NM_145019.3,13,F,51796502,51858377,q14.3,0.539728274,0.305815653,TRUE,14,25,4,30,18,5,0.177132839,0.030578445,1,0.310512854,0.128301822,1,0.581395349,0.339622642,0.093023256,0.094339623,FALSE
FAM132B,ENSG00000178752.11,,2,F,239067622,239077541,q37.3,0.415617396,1.084782607,TRUE,33,2,8,24,12,17,0.00159369,0.028321043,0.207048457,0.011831114,0.128301822,1,0.046511628,0.226415094,0.186046512,0.320754717,FALSE
FAM167A,ENSG00000154319.10,NM_053279.2,8,R,11278971,11332224,p23.1,0.43851369,0.747601107,TRUE,11,25,7,24,18,11,0.991445036,0.030578445,0.767395572,0.994896087,0.128301822,1,0.581395349,0.339622642,0.162790698,0.20754717,FALSE
FAM187A,ENSG00000214447.3,NM_001258399.1,17,F,42977134,42982758,q21.31,0.502582369,0.582151664,TRUE,23,7,13,36,1,16,0.360563546,0.030320066,1,0.510677579,0.128301822,1,0.162790698,0.018867925,0.302325581,0.301886792,FALSE
FAM188B,ENSG00000106125.14,NM_032222.2,7,F,30811032,30932002,p14.3,1.146217503,1.046504779,TRUE,20,7,16,21,1,31,0.372046855,0.030320066,0.061629628,0.522276487,0.128301822,1,0.162790698,0.018867925,0.372093023,0.58490566,FALSE
FAM200B,ENSG00000237765.2,NM_001145191.1,4,F,15683284,15707188,p15.32,1.808813321,2.529456315,TRUE,29,7,7,37,1,15,0.019666944,0.030320066,0.250310908,0.066371574,0.128301822,1,0.162790698,0.018867925,0.162790698,0.283018868,FALSE
FAM203A,ENSG00000235173.2,NM_016458.2,8,F,145192671,145195746,q24.3,2.702935197,2.382551753,TRUE,10,7,26,12,1,39,0.257912835,0.030320066,0.251123787,0.404226318,0.128301822,1,0.162790698,0.018867925,0.604651163,0.735849057,FALSE
FAM203B,ENSG00000230567.3,,8,F,145437879,145440835,q24.3,0.545153807,0.500206681,TRUE,10,7,26,12,1,39,0.132752181,0.030320066,0.251123787,0.253678391,0.128301822,1,0.162790698,0.018867925,0.604651163,0.735849057,FALSE
FAM215A,ENSG00000267496.2,,17,F,41994575,41995326,q21.31,0.057841096,0.004997317,FALSE,23,7,13,35,1,17,0.163477827,0.030320066,1,0.293775275,0.128301822,1,0.162790698,0.018867925,0.302325581,0.320754717,FALSE
FAM228A,ENSG00000186453.8,NM_001040710.1,2,F,24397937,24423718,p23.3,0.169875557,0.167428199,FALSE,23,7,13,28,1,24,0.458462636,0.030320066,0.19502319,0.604558083,0.128301822,1,0.162790698,0.018867925,0.302325581,0.452830189,FALSE
FAM228B,ENSG00000219626.4,NM_001145710.1,2,F,24299395,24392509,p23.3,1.421719453,1.446136267,TRUE,23,7,13,28,1,24,0.991445036,0.030320066,0.19502319,0.994896087,0.128301822,1,0.162790698,0.018867925,0.302325581,0.452830189,FALSE
FAM25C,ENSG00000188279.7,NM_001137548.1,10,R,49199648,49207818,q11.22,0.092948027,0.100099571,FALSE,21,10,12,36,3,14,0.445484701,0.027411776,1,0.592785329,0.128301822,1,0.23255814,0.056603774,0.279069767,0.264150943,FALSE
FAM49B,ENSG00000153310.14,,8,R,130851838,131029375,q24.21,2.295556589,2.033136257,TRUE,11,7,25,14,1,38,0.111487769,0.030320066,0.240060907,0.224118096,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
FAM83H,ENSG00000180921.6,NM_198488.3,8,R,144806102,144815971,q24.3,3.680510537,2.709458985,TRUE,11,7,25,14,1,38,0.009531301,0.030320066,0.240060907,0.040579192,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
FANCD2OS,ENSG00000163705.8,,3,R,10123000,10149915,p25.3,0.616946278,0.61316365,TRUE,19,10,14,29,3,21,0.584064939,0.027411776,0.615716921,0.712463366,0.128301822,1,0.23255814,0.056603774,0.325581395,0.396226415,FALSE
FBXL5,ENSG00000118564.10,NM_001193534.1,4,R,15606161,15683302,p15.32,3.926049442,3.622560496,TRUE,29,7,7,37,1,15,0.306461486,0.030320066,0.250310908,0.454591307,0.128301822,1,0.162790698,0.018867925,0.162790698,0.283018868,FALSE
FBXL6,ENSG00000182325.6,NM_012162.2,8,R,145579090,145583036,q24.3,3.076795873,3.266067673,TRUE,10,7,26,13,1,39,0.372046855,0.030320066,0.251123787,0.522276487,0.128301822,1,0.162790698,0.018867925,0.604651163,0.735849057,FALSE
FEZ2,ENSG00000171055.10,,2,R,36778569,36873230,p22.2,1.971515501,1.461767834,TRUE,20,7,16,33,1,19,0.000283145,0.030320066,1,0.003767409,0.128301822,1,0.162790698,0.018867925,0.372093023,0.358490566,FALSE
FGD5,ENSG00000154783.6,NM_152536.3,3,F,14860468,14975895,p25.1,1.075259193,0.821705512,TRUE,23,7,13,32,1,20,0.177132839,0.030320066,0.57981315,0.310512854,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
FGD6,ENSG00000180263.9,NM_018351.3,12,R,95470524,95611258,q22,1.332955496,1.165333761,TRUE,20,7,16,26,1,26,0.121766038,0.030320066,0.338697423,0.23860375,0.128301822,1,0.162790698,0.018867925,0.372093023,0.490566038,FALSE
FGF20,ENSG00000078579.8,NM_019851.2,8,R,16849677,16859690,p22,0.075371339,0.048456463,FALSE,12,25,6,24,18,11,0.163477827,0.030578445,0.549005097,0.293775275,0.128301822,1,0.581395349,0.339622642,0.139534884,0.20754717,FALSE
FGFBP1,ENSG00000137440.3,,4,R,15937191,15940363,p15.32,0.14286144,0.051349196,FALSE,30,7,6,37,1,15,0.540512957,0.030320066,0.149056932,0.676423312,0.128301822,1,0.162790698,0.018867925,0.139534884,0.283018868,FALSE
FGFBP2,ENSG00000137441.7,NM_031950.3,4,R,15961865,15970932,p15.32,0.675358396,0.764511662,TRUE,30,7,6,37,1,15,0.177132839,0.030320066,0.149056932,0.310512854,0.128301822,1,0.162790698,0.018867925,0.139534884,0.283018868,FALSE
FHAD1,ENSG00000142621.15,,1,F,15573767,15726779,p36.21,0.315276525,0.368020562,FALSE,26,10,7,37,3,13,0.132752181,0.027411776,0.461120071,0.253678391,0.128301822,1,0.23255814,0.056603774,0.162790698,0.245283019,FALSE
FKBP14,ENSG00000106080.6,NM_017946.3,7,R,30050202,30066300,p14.3,1.826373157,1.146036533,TRUE,20,7,16,21,1,31,0.000138481,0.030320066,0.061629628,0.002399707,0.128301822,1,0.162790698,0.018867925,0.372093023,0.58490566,FALSE
FKBP1B,ENSG00000119782.9,NM_004116.3,2,F,24272570,24286551,p23.3,0.932453913,1.343898539,TRUE,23,7,13,28,1,24,0.02810581,0.030320066,0.19502319,0.085113679,0.128301822,1,0.162790698,0.018867925,0.302325581,0.452830189,FALSE
FNDC4,ENSG00000115226.5,NM_022823.2,2,R,27714749,27718112,p23.3,1.415080371,1.383338086,TRUE,23,7,13,32,1,20,0.407803616,0.030320066,0.57981315,0.556499993,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
FOSL2,ENSG00000075426.7,NM_005253.3,2,F,28615314,28640179,p23.2,4.053953163,2.154499453,TRUE,23,7,13,32,1,20,3.48E-06,0.030320066,0.57981315,0.000231685,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
FRMD5,ENSG00000171877.15,,15,R,44162961,44487450,q15.3,0.232801746,1.013527951,TRUE,26,10,7,35,3,15,2.85E-05,0.027411776,0.250310908,0.000896716,0.128301822,1,0.23255814,0.056603774,0.162790698,0.283018868,FALSE
FRMPD2,ENSG00000170324.15,,10,R,49364600,49482941,q11.22,0.230519881,0.574144252,TRUE,21,10,12,36,3,14,0.121766038,0.027411776,1,0.23860375,0.128301822,1,0.23255814,0.056603774,0.279069767,0.264150943,FALSE
FRRS1,ENSG00000156869.8,NM_001013660.2,1,R,100174258,100232187,p21.2,1.054029667,0.90022717,TRUE,21,10,12,34,3,16,0.048839558,0.027411776,0.98498918,0.125070023,0.128301822,1,0.23255814,0.056603774,0.279069767,0.301886792,FALSE
G3BP2,ENSG00000138757.10,NM_203504.2,4,R,76567965,76649709,q21.1,3.908291565,3.413698729,TRUE,25,7,11,31,1,21,0.009059519,0.030320066,0.217359383,0.03871866,0.128301822,1,0.162790698,0.018867925,0.255813953,0.396226415,FALSE
GADL1,ENSG00000144644.10,NM_207359.2,3,R,30767691,30936257,p23,0.060852623,0.214245287,FALSE,24,7,12,32,1,20,0.152207495,0.030320066,0.424755054,0.280136584,0.128301822,1,0.162790698,0.018867925,0.279069767,0.377358491,FALSE
GALNT4,ENSG00000257594.2,,12,R,89913184,89920039,q21.33,1.763668287,1.021401274,TRUE,21,7,15,27,1,25,3.22E-05,0.030320066,0.314382756,0.000963442,0.128301822,1,0.162790698,0.018867925,0.348837209,0.471698113,FALSE
GAP43,ENSG00000172020.8,NM_002045.3,3,F,115342170,115440337,q13.31,0.103703246,1.410903759,TRUE,18,10,15,27,3,23,3.92E-07,0.027411776,0.523292119,6.66E-05,0.128301822,1,0.23255814,0.056603774,0.348837209,0.433962264,FALSE
GAREML,ENSG00000157833.8,NM_001168241.1,2,F,26395959,26412532,p23.3,0.57782601,0.633940483,TRUE,22,7,14,31,1,21,0.584064939,0.030320066,0.615716921,0.712463366,0.128301822,1,0.162790698,0.018867925,0.325581395,0.396226415,FALSE
GARS,ENSG00000106105.9,NM_002047.2,7,F,30634296,30673649,p14.3,3.809877438,3.623081422,TRUE,20,7,16,21,1,31,0.471645013,0.030320066,0.061629628,0.616472465,0.128301822,1,0.162790698,0.018867925,0.372093023,0.58490566,FALSE
GAS2L3,ENSG00000139354.6,,12,F,100967460,101022064,q23.1,0.993665231,1.850779459,TRUE,21,7,15,28,1,24,0.001465518,0.030320066,0.410663498,0.011167167,0.128301822,1,0.162790698,0.018867925,0.348837209,0.452830189,FALSE
GCKR,ENSG00000084734.4,NM_001486.3,2,F,27719708,27746554,p23.3,0.291666042,0.921966734,TRUE,23,7,13,32,1,20,0.788599673,0.030320066,0.57981315,0.86537205,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
GCLM,ENSG00000023909.5,NM_002061.2,1,R,94350760,94374966,p22.1,2.013898394,1.465038271,TRUE,21,10,12,34,3,16,0.011840572,0.027411776,0.98498918,0.046260896,0.128301822,1,0.23255814,0.056603774,0.279069767,0.301886792,FALSE
GCSH,ENSG00000140905.5,NM_004483.4,16,R,81115565,81130008,q23.2,0.572935722,0.48140235,FALSE,14,25,4,29,18,6,0.163477827,0.030578445,1,0.293775275,0.128301822,1,0.581395349,0.339622642,0.093023256,0.113207547,FALSE
GGCT,ENSG00000006625.13,NM_001199816.1,7,R,30536236,30591095,p14.3,4.214597298,3.546341573,TRUE,20,7,16,21,1,31,0.007364506,0.030320066,0.061629628,0.033450574,0.128301822,1,0.162790698,0.018867925,0.372093023,0.58490566,FALSE
GHRHR,ENSG00000106128.14,NM_000823.3,7,F,30978283,31032869,p14.3,0.503810991,0.438332441,TRUE,20,7,16,21,1,31,0.471645013,0.030320066,0.061629628,0.616472465,0.128301822,1,0.162790698,0.018867925,0.372093023,0.58490566,FALSE
GIP,ENSG00000159224.4,NM_004123.2,17,R,47035915,47045958,q21.32,0.008295333,0.013800248,FALSE,22,7,14,28,1,24,0.659984119,0.030320066,0.290069484,0.772532626,0.128301822,1,0.162790698,0.018867925,0.325581395,0.452830189,FALSE
GJC1,ENSG00000182963.5,,17,R,42875815,42908184,q21.31,0.926974575,1.279111588,TRUE,23,7,13,36,1,16,0.165018214,0.030320066,1,0.296403432,0.128301822,1,0.162790698,0.018867925,0.302325581,0.301886792,FALSE
GJD3,ENSG00000183153.5,,17,R,38517234,38520067,q21.2,1.049491579,0.616793478,TRUE,21,7,15,31,1,20,0.006864674,0.030320066,0.939807701,0.031841578,0.128301822,1,0.162790698,0.018867925,0.348837209,0.377358491,FALSE
GLB1,ENSG00000170266.11,NM_000404.2,3,R,33038099,33138722,p22.3,2.871123113,2.849542388,TRUE,22,7,14,32,1,20,0.70730387,0.030320066,0.754345346,0.80794085,0.128301822,1,0.162790698,0.018867925,0.325581395,0.377358491,FALSE
GLI4,ENSG00000250571.2,NM_138465.3,8,F,144349602,144359101,q24.3,2.621921317,2.040361236,TRUE,11,7,25,15,1,37,0.005538723,0.030320066,0.32980522,0.027494203,0.128301822,1,0.162790698,0.018867925,0.581395349,0.698113208,FALSE
GLIPR1,ENSG00000139278.5,NM_006851.2,12,F,75874459,75897633,q21.2,2.649592677,1.788015359,TRUE,22,7,14,29,1,23,0.000111911,0.030320066,0.382032515,0.002118739,0.128301822,1,0.162790698,0.018867925,0.325581395,0.433962264,FALSE
GLIPR1L1,ENSG00000173401.5,NM_152779.2,12,F,75728418,75764340,q21.2,0.343119193,0.443240901,FALSE,23,7,13,30,1,22,0.092948796,0.030320066,0.353227089,0.197051448,0.128301822,1,0.162790698,0.018867925,0.302325581,0.41509434,FALSE
GLIPR1L2,ENSG00000180481.6,NM_152436.2,12,F,75784849,75826468,q21.2,0.21769103,0.242205824,FALSE,22,7,14,29,1,23,0.598928642,0.030320066,0.382032515,0.725293742,0.128301822,1,0.162790698,0.018867925,0.325581395,0.433962264,FALSE
GLYAT,ENSG00000149124.6,NM_005838.3,11,R,58407898,58499447,q12.1,0.058878732,0.83498799,TRUE,19,10,14,27,3,23,0.144471537,0.027411776,0.382032515,0.269548924,0.128301822,1,0.23255814,0.056603774,0.325581395,0.433962264,FALSE
GLYATL1,ENSG00000166840.9,NM_001220496.1,11,F,58672870,58811000,q12.1,1.351781295,1.076316453,TRUE,19,10,14,27,3,23,0.02810581,0.027411776,0.382032515,0.085113679,0.128301822,1,0.23255814,0.056603774,0.325581395,0.433962264,FALSE
GLYATL2,ENSG00000156689.2,NM_145016.3,11,R,58601541,58671688,q12.1,0.534922049,0.498940717,TRUE,19,10,14,27,3,23,0.872211826,0.027411776,0.382032515,0.919677163,0.128301822,1,0.23255814,0.056603774,0.325581395,0.433962264,FALSE
GML,ENSG00000104499.2,NM_002066.2,8,F,143915662,143997922,q24.3,0.012383733,0.034508466,FALSE,11,7,25,14,1,38,0.644490673,0.030320066,0.240060907,0.761896492,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
GNE,ENSG00000159921.10,NM_001190383.1,9,R,36214437,36277053,p13.3,2.077052872,2.455577813,TRUE,18,10,15,28,3,22,0.276666971,0.027411776,0.650942419,0.423673437,0.128301822,1,0.23255814,0.056603774,0.348837209,0.41509434,FALSE
GNS,ENSG00000135677.6,NM_002076.3,12,R,65107224,65153227,q14.3,4.084570925,3.852356152,TRUE,24,7,12,30,1,22,0.063165376,0.030320066,0.241520153,0.149837627,0.128301822,1,0.162790698,0.018867925,0.279069767,0.41509434,FALSE
GOSR1,ENSG00000108587.10,NM_001007024.1,17,F,28804379,28854610,q11.2,2.354777013,1.99770994,TRUE,22,7,14,30,1,22,0.003543345,0.030320066,0.490881216,0.020313114,0.128301822,1,0.162790698,0.018867925,0.325581395,0.41509434,FALSE
GOSR2,ENSG00000108433.11,NM_054022.2,17,F,45000482,45105003,q21.32,2.676544234,2.196805177,TRUE,22,7,14,33,1,19,0.003036928,0.030320066,0.903267603,0.018309137,0.128301822,1,0.162790698,0.018867925,0.325581395,0.358490566,FALSE
GPAA1,ENSG00000197858.6,NM_003801.3,8,F,145137492,145141119,q24.3,4.359556163,4.38596834,TRUE,10,7,26,13,1,39,0.598928642,0.030320066,0.251123787,0.725293742,0.128301822,1,0.162790698,0.018867925,0.604651163,0.735849057,FALSE
GPATCH11,ENSG00000152133.10,NM_001278505.1,2,F,37311593,37326387,p22.2,1.385406423,1.637098876,TRUE,21,7,15,33,1,19,0.041604037,0.030320066,1,0.111950221,0.128301822,1,0.162790698,0.018867925,0.348837209,0.358490566,FALSE
GPD1L,ENSG00000152642.6,NM_015141.3,3,F,32147180,32210205,p22.3,2.770687854,1.886182867,TRUE,24,7,12,32,1,20,0.000231896,0.030320066,0.424755054,0.003355346,0.128301822,1,0.162790698,0.018867925,0.279069767,0.377358491,FALSE
GPIHBP1,ENSG00000182851.2,NM_178172.3,8,F,144295067,144299044,q24.3,0.524200041,0.4024535,FALSE,11,7,25,15,1,37,0.445484701,0.030320066,0.32980522,0.592785329,0.128301822,1,0.162790698,0.018867925,0.581395349,0.698113208,FALSE
GPN1,ENSG00000198522.9,,2,F,27851113,27874375,p23.3,2.393635369,2.357069503,TRUE,23,7,13,32,1,20,0.855346249,0.030320066,0.57981315,0.908996486,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
GPR113,ENSG00000173567.10,NM_001145168.1,2,R,26531040,26569685,p23.3,0.378326651,0.320768836,FALSE,23,7,13,32,1,20,0.144471537,0.030320066,0.57981315,0.269548924,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
GPR156,ENSG00000175697.6,NM_001168271.1,3,R,119883491,120003941,q13.33,0.16012952,0.380053373,TRUE,16,10,17,27,3,23,0.407803616,0.027411776,0.862289837,0.556499993,0.128301822,1,0.23255814,0.056603774,0.395348837,0.433962264,FALSE
GPR20,ENSG00000204882.3,NM_005293.2,8,R,142366599,142377367,q24.3,0.214360918,0.242696091,FALSE,11,7,25,14,1,38,0.420152812,0.030320066,0.240060907,0.568540471,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
GPRC5A,ENSG00000013588.5,NM_003979.3,12,F,13043715,13070871,p13.1,1.984665818,0.664744152,TRUE,17,18,8,31,10,12,0.000607519,0.025161673,0.8168256,0.006289042,0.128301822,1,0.418604651,0.188679245,0.186046512,0.226415094,FALSE
GPRC5D,ENSG00000111291.4,NM_018654.1,12,R,13093708,13105081,p13.1,0.873961676,0.581927397,TRUE,17,18,8,31,10,12,0.063165376,0.025161673,0.8168256,0.149837627,0.128301822,1,0.418604651,0.188679245,0.186046512,0.226415094,FALSE
GRB7,ENSG00000141738.9,NM_005310.3,17,F,37894179,37903544,q12,1.85622516,2.497730114,TRUE,22,7,14,31,1,21,0.003036928,0.030320066,0.615716921,0.018309137,0.128301822,1,0.162790698,0.018867925,0.325581395,0.396226415,FALSE
GRIN2B,ENSG00000273079.1,NM_000834.3,12,R,13693164,14133053,p13.1,0.046463338,0.025671111,FALSE,17,18,8,31,10,12,0.08070182,0.025161673,0.8168256,0.178391221,0.128301822,1,0.418604651,0.188679245,0.186046512,0.226415094,FALSE
GRINA,ENSG00000178719.12,NM_000837.1,8,F,145064225,145067583,q24.3,5.900911608,4.896357182,TRUE,10,7,26,14,1,38,0.000231896,0.030320066,0.345514172,0.003355346,0.128301822,1,0.162790698,0.018867925,0.604651163,0.716981132,FALSE
GSDMA,ENSG00000167914.6,NM_178171.4,17,F,38119225,38134019,q21.1,0.214547962,0.564572787,TRUE,22,7,14,31,1,21,0.540512957,0.030320066,0.615716921,0.676423312,0.128301822,1,0.162790698,0.018867925,0.325581395,0.396226415,FALSE
GSDMC,ENSG00000147697.4,NM_031415.2,8,R,130760441,130799134,q24.21,0.476632363,0.14426062,TRUE,10,7,26,15,1,37,0.051468914,0.030320066,0.457656361,0.129451292,0.128301822,1,0.162790698,0.018867925,0.604651163,0.698113208,FALSE
GSDMD,ENSG00000104518.6,NM_024736.6,8,F,144635376,144645232,q24.3,2.920914472,3.001175044,TRUE,11,7,25,14,1,38,0.633177573,0.030320066,0.240060907,0.754050803,0.128301822,1,0.162790698,0.018867925,0.581395349,0.716981132,FALSE
GSTM4,ENSG00000168765.11,NM_147148.2,1,F,110198702,110208118,p13.3,0.866582139,1.193490094,TRUE,21,10,12,32,3,18,0.051468914,0.027411776,0.678054262,0.129451292,0.128301822,1,0.23255814,0.056603774,0.279069767,0.339622642,FALSE
GTPBP8,ENSG00000163607.10,,3,F,112709764,112733907,q13.2,1.253480819,1.302443141,TRUE,18,10,15,26,3,24,0.905025962,0.027411776,0.410663498,0.942824407,0.128301822,1,0.23255814,0.056603774,0.348837209,0.452830189,FALSE
GXYLT1,ENSG00000151233.6,,12,R,42475646,42538681,q12,1.671783382,1.716885931,TRUE,23,7,13,32,1,20,0.974338949,0.030320066,0.57981315,0.985631728,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
GXYLT2,ENSG00000172986.8,NM_001080393.1,3,F,72937223,73047289,p13,0.925568625,0.666211318,TRUE,22,10,11,30,3,20,0.023568605,0.027411776,0.295083201,0.075002485,0.128301822,1,0.23255814,0.056603774,0.255813953,0.377358491,FALSE
HACL1,ENSG00000131373.10,NM_012260.2,3,R,15602210,15643338,p25.1,2.238769506,1.9421677,TRUE,23,7,13,32,1,20,0.097339839,0.030320066,0.57981315,0.203548206,0.128301822,1,0.162790698,0.018867925,0.302325581,0.377358491,FALSE
HADHA,ENSG00000084754.6,NM_000182.4,2,R,26413503,26467594,p23.3,4.601244747,4.394969505,TRUE,22,7,14,31,1,21,0.02767235,0.030320066,0.615716921,0.084950276,0.128301822,1,0.162790698,0.018867925,0.325581395,0.396226415,FALSE
HADHB,ENSG00000138029.9,NM_000183.2,2,F,26466037,26513336,p23.3,4.123175851,3.491935984,TRUE,23,7,13,31,1,21,4.58E-05,0.030320066,0.458053865,0.001188478,0.128301822,1,0.162790698,0.018867925,0.302325581,0.396226415,FALSE
HAL,ENSG00000084110.6,NM_002108.3,12,R,96366439,96390143,q23.1,0.787832393,1.640259549,TRUE,19,7,17,28,1,24,0.08070182,0.030320066,0.719796728,0.178391221,0.128301822,1,0.162790698,0.018867925,0.395348837,0.452830189,FALSE
HCRT,ENSG00000161610.1,NM_001524.1,17,R,40336077,40337470,q21.2,0.032005061,0.181634789,FALSE,24,7,12,33,1,19,0.000797771,0.030320066,0.543118769,0.007444426,0.128301822,1,0.162790698,0.018867925,0.279069767,0.358490566,FALSE
HDAC4,ENSG00000068024.12,NM_006037.3,2,R,239969863,240323348,q37.3,1.939354729,1.578839451,TRUE,31,2,10,25,12,16,0.286376221,0.028321043,0.596666201,0.43431216,0.128301822,1,0.046511628,0.226415094,0.23255814,0.301886792,FALSE
HEATR5B,ENSG00000008869.7,NM_019024.1,2,R,37195525,37311485,p22.2,2.688621431,2.450161727,TRUE,21,7,15,33,1,19,0.022201085,0.030320066,1,0.07208533,0.128301822,1,0.162790698,0.018867925,0.348837209,0.358490566,FALSE
HEBP1,ENSG00000013583.4,NM_015987.4,12,R,13127797,13153207,p13.1,2.512228392,1.790317639,TRUE,17,18,8,31,10,12,0.004784998,0.025161673,0.8168256,0.024760446,0.128301822,1,0.418604651,0.188679245,0.186046512,0.226415094,FALSE
HERC4,ENSG00000148634.11,,10,R,69681664,69835105,q21.3,2.131862826,1.558550589,TRUE,23,10,10,30,3,20,0.000167324,0.027411776,0.193358263,0.002742931,0.128301822,1,0.23255814,0.056603774,0.23255814,0.377358491,FALSE
HES6,ENSG00000144485.6,,2,R,239146907,239149303,q37.3,1.461826012,5.489038751,TRUE,32,2,9,25,12,16,7.62E-07,0.028321043,0.427162035,9.99E-05,0.128301822,1,0.046511628,0.226415094,0.209302326,0.301886792,FALSE
HHLA1,ENSG00000132297.7,NM_001145095.1,8,R,133073732,133123406,q24.22,0.017835913,0.010407545,FALSE,11,7,25,15,1,37,0.70730387,0.030320066,0.32980522,0.80794085,0.128301822,1,0.162790698,0.018867925,0.581395349,0.698113208,FALSE
HIGD1B,ENSG00000131097.2,NM_016438.2,17,F,42923720,42927848,q21.31,0.943516178,1.299931773,TRUE,23,7,13,36,1,16,0.170205149,0.030320066,1,0.301872984,0.128301822,1,0.162790698,0.018867925,0.302325581,0.301886792,FALSE
HK1,ENSG00000156515.17,NM_033496.2,10,F,71029739,71161638,q22.1,3.924507696,3.164380666,TRUE,24,10,9,30,3,20,0.000729105,0.027411776,0.118804651,0.007031261,0.128301822,1,0.23255814,0.056603774,0.209302326,0.377358491,FALSE
HKDC1,ENSG00000156510.11,NM_025130.3,10,F,70980058,71027315,q22.1,0.21079859,0.5340968,TRUE,24,10,9,30,3,20,0.723336988,0.027411776,0.118804651,0.819173434,0.128301822,1,0.23255814,0.056603774,0.209302326,0.377358491,FALSE
HNRNPH3,ENSG00000096746.13,NM_012207.2,10,F,70090930,70102948,q21.3,3.796280613,4.164182573,TRUE,24,10,9,30,3,20,0.101891055,0.027411776,0.118804651,0.209882116,0.128301822,1,0.23255814,0.056603774,0.209302326,0.377358491,FALSE
HOXB13,ENSG00000159184.7,NM_006361.5,17,R,46802124,46806540,q21.32,5.180544052,1.089397572,TRUE,22,7,14,29,1,23,5.49E-07,0.030320066,0.382032515,7.91E-05,0.128301822,1,0.162790698,0.018867925,0.325581395,0.433962264,FALSE
